Series_Title,Runtime_of_Series,Certificate,Runtime_of_Episodes,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4,No_of_Votes
Daredevil,(2015–2018),18+,54 min,"Action, Crime, Drama",8.6,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",Charlie Cox,Vincent D'Onofrio,Deborah Ann Woll,Elden Henson,363031
Narcos,(2015–2017),A,49 min,"Biography, Crime, Drama",8.8,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann,358462
Modern Family,(2009–2020),12+,22 min,"Comedy, Drama, Romance",8.4,Three different but related families face trials and tribulations in their own uniquely comedic ways.,Ed O'Neill,Sofía Vergara,Julie Bowen,Ty Burrell,356381
Peaky Blinders,(2013– ),A,60 min,"Crime, Drama",8.8,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle,350627
Mr. Robot,(2015–2019),16+,49 min,"Crime, Drama, Thriller",8.6,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,334009
South Park,(1997– ),18+,22 min,"Animation, Comedy",8.7,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",Trey Parker,Matt Stone,Isaac Hayes,Mona Marshall,331830
Fargo,(2014– ),16+,53 min,"Crime, Drama, Thriller",8.9,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks,328350
Better Call Saul,(2015–2021),16+,46 min,"Crime, Drama",8.7,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.",Bob Odenkirk,Rhea Seehorn,Jonathan Banks,Patrick Fabian,324868
Homeland,(2011–2020),UA,55 min,"Crime, Drama, Mystery",8.3,A bipolar CIA operative becomes convinced a prisoner of war has been turned by al-Qaeda and is planning to carry out a terrorist attack on American soil.,Claire Danes,Mandy Patinkin,Damian Lewis,Rupert Friend,313410
The Flash,(2014– ),12+,43 min,"Action, Adventure, Drama",7.7,"After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.",Grant Gustin,Candice Patton,Danielle Panabaker,Carlos Valdes,305593
Family Guy,(1999– ),13,22 min,"Animation, Comedy",8.1,"In a wacky Rhode Island town, a dysfunctional family strive to cope with everyday life as they are thrown from one crazy scenario to another.",Seth MacFarlane,Alex Borstein,Seth Green,Mila Kunis,304879
The Sopranos,(1999–2007),15+,55 min,"Crime, Drama",9.2,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,303082
The Witcher,(2019– ),NA,60 min,"Action, Adventure, Fantasy",8.2,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",Freya Allan,Yasen Atour,Basil Eidenbenz,NA,301304
La casa de papel,(2017– ),16+,70 min,"Action, Crime, Mystery",8.3,An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,Úrsula Corberó,Álvaro Morte,Itziar Ituño,Pedro Alonso,299735
The Mandalorian,(2019– ),U,40 min,"Action, Adventure, Sci-Fi",8.8,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",Pedro Pascal,Gina Carano,Giancarlo Esposito,Chris Bartlett,291461
The Wire,(2002–2008),15+,59 min,"Crime, Drama, Thriller",9.3,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,286093
Dark,(2017–2020),16+,60 min,"Crime, Drama, Mystery",8.8,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.",Louis Hofmann,Karoline Eichhorn,Lisa Vicari,Maja Schöne,285156
The Vampire Diaries,(2009–2017),16+,43 min,"Drama, Fantasy, Horror",7.7,"The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.",Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graham,283524
Orange Is the New Black,(2013–2019),18+,59 min,"Comedy, Crime, Drama",8.1,"Convicted of a decade old crime of transporting drug money to an ex-girlfriend, normally law-abiding Piper Chapman is sentenced to a year and a half behind bars to face the reality of how life-changing prison can really be.",Taylor Schilling,Danielle Brooks,Taryn Manning,Emma Myles,279138
American Horror Story,(2011– ),A,60 min,"Drama, Horror, Thriller",8,"An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.",Lady Gaga,Kathy Bates,Angela Bassett,Sarah Paulson,277746
Arrested Development,(2003–2019),A,22 min,Comedy,8.7,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett,277090
Sons of Anarchy,(2008–2014),18,45 min,"Crime, Drama, Thriller",8.5,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,260564
13 Reasons Why,(2017–2020),16+,60 min,"Drama, Mystery, Thriller",7.6,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",Dylan Minnette,Katherine Langford,Christian Navarro,Alisha Boe,256630
Seinfeld,(1989–1998),13,22 min,Comedy,8.8,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander,256151
Grey's Anatomy,(2005– ),15+,41 min,"Drama, Romance",7.6,A drama centered on the personal and professional lives of five surgical interns and their supervisors.,Ellen Pompeo,Chandra Wilson,James Pickens Jr.,Justin Chambers,251568
Avatar: The Last Airbender,(2005–2008),U,23 min,"Animation, Action, Adventure",9.2,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena,248751
The Boys,(2019– ),18+,60 min,"Action, Comedy, Crime",8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Karl Urban,Jack Quaid,Antony Starr,Erin Moriarty,248397
Firefly,(2002–2003),NA,44 min,"Adventure, Drama, Sci-Fi",9,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",Gina Torres,Alan Tudyk,Morena Baccarin,NA,244134
Two and a Half Men,(2003–2015),16+,22 min,"Comedy, Romance",7,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.,Jon Cryer,Ashton Kutcher,Angus T. Jones,Conchata Ferrell,241529
Death Note: Desu nôto,(2006–2007),16+,24 min,"Animation, Crime, Drama",9,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô,239363
Scrubs,(2001–2010),NA,22 min,"Comedy, Drama",8.3,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life.",Donald Faison,Sarah Chalke,John C. McGinley,NA,236624
Lucifer,(2016– ),15,42 min,"Crime, Drama, Fantasy",8.1,Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,Tom Ellis,Lauren German,Kevin Alejandro,D.B. Woodside,233488
Heroes,(II) (2006–2010),16,45 min,"Drama, Fantasy, Sci-Fi",7.5,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.,Jack Coleman,Hayden Panettiere,Milo Ventimiglia,Masi Oka,229260
True Blood,(2008–2014),18,55 min,"Drama, Fantasy, Mystery",7.8,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire.",Anna Paquin,Stephen Moyer,Sam Trammell,Ryan Kwanten,229129
Hannibal,(2013–2015),A,44 min,"Crime, Drama, Horror",8.5,"Explores the early relationship between renowned psychiatrist, Hannibal Lecter, and his patient, a young FBI criminal profiler, who is haunted by his ability to empathize with serial killers.",Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,228558
Brooklyn Nine-Nine,(2013–2022),13+,22 min,"Comedy, Crime",8.4,"Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.",Andy Samberg,Stephanie Beatriz,Terry Crews,Melissa Fumero,226619
Spartacus: Blood and Sand,(2010–2013),16+,55 min,"Action, Adventure, Biography",8.5,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,223612
Fringe,(2008–2013),16,46 min,"Drama, Mystery, Sci-Fi",8.4,An F.B.I. agent is forced to work with an institutionalized scientist and his son in order to rationalize a brewing storm of unexplained phenomena.,Anna Torv,Joshua Jackson,John Noble,Jasika Nicole,220496
Community,(2009–2015),U,22 min,Comedy,8.5,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,219596
Mindhunter,(2017–2019),16+,60 min,"Crime, Drama, Thriller",8.6,"Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",Jonathan Groff,Holt McCallany,Anna Torv,Hannah Gross,218006
The 100,(2014–2020),A,43 min,"Drama, Mystery, Sci-Fi",7.6,"Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.",Eliza Taylor,Bob Morley,Marie Avgeropoulos,Isaiah Washington,216968
Parks and Recreation,(2009–2020),13,22 min,Comedy,8.6,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,Amy Poehler,Jim O'Heir,Nick Offerman,Chris Pratt,214125
Futurama,(1999–2013),7,22 min,"Animation, Comedy, Sci-Fi",8.4,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,213193
Gotham,(2014–2019),18+,42 min,"Action, Crime, Drama",7.8,The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,Ben McKenzie,Jada Pinkett Smith,Donal Logue,Camren Bicondova,212039
Once Upon a Time,(2011–2018),16+,60 min,"Adventure, Fantasy, Romance",7.7,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,Ginnifer Goodwin,Jennifer Morrison,Lana Parrilla,Robert Carlyle,208753
Mad Men,(2007–2015),16+,47 min,Drama,8.6,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",Jon Hamm,Elisabeth Moss,Vincent Kartheiser,January Jones,208096
Shameless,(2011–2021),18+,46 min,"Comedy, Drama",8.6,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,203687
Shingeki no kyojin,(2013– ),13,24 min,"Animation, Action, Adventure",8.9,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Yûki Kaji,Marina Inoue,Yui Ishikawa,Josh Grelle,201518
Doctor Who,(2005– ),U,45 min,"Adventure, Drama, Family",8.6,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,200288
Agents of S.H.I.E.L.D.,(2013–2020),16+,45 min,"Action, Adventure, Drama",7.5,"The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.",Clark Gregg,Ming-Na Wen,Brett Dalton,Iain De Caestecker,200036
The X Files,(1993–2018),NA,45 min,"Crime, Drama, Mystery",8.6,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",Gillian Anderson,Mitch Pileggi,William B. Davis,NA,199555
The Blacklist,(2013– ),16+,43 min,"Crime, Drama, Mystery",8,"A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",James Spader,Megan Boone,Diego Klattenhoff,Ryan Eggold,197895
Jessica Jones,(2015–2019),18,56 min,"Action, Crime, Drama",7.9,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.",Krysten Ritter,Rachael Taylor,Eka Darville,Carrie-Anne Moss,193406
New Girl,(2011–2018),15+,22 min,Comedy,7.7,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.",Zooey Deschanel,Jake Johnson,Max Greenfield,Hannah Simone,192778
It's Always Sunny in Philadelphia,(2005– ),15+,22 min,Comedy,8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson,190581
Ozark,(2017– ),16+,60 min,"Crime, Drama, Thriller",8.4,"A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.",Jason Bateman,Laura Linney,Sofia Hublitz,Skylar Gaertner,188576
The Punisher,(2017–2019),A,53 min,"Action, Crime, Drama",8.5,"After the murder of his family, Marine veteran Frank Castle becomes the vigilante known as ""The Punisher,"" with only one goal in mind: to avenge them.",Jon Bernthal,Amber Rose Revah,Ben Barnes,Jason R. Moore,184757
Twin Peaks,(1990–1991),18,47 min,"Crime, Drama, Mystery",8.8,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,175882
The Handmaid's Tale,(2017– ),A,60 min,"Drama, Sci-Fi, Thriller",8.4,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",Elisabeth Moss,Yvonne Strahovski,Joseph Fiennes,Ann Dowd,172732
Boardwalk Empire,(2010–2014),NA,55 min,"Crime, Drama, History",8.5,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,Kelly Macdonald,Michael Shannon,Shea Whigham,NA,172452
24,(2001–2010),U,44 min,"Action, Crime, Drama",8.3,Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.,Kiefer Sutherland,Mary Lynn Rajskub,Carlos Bernard,Dennis Haysbert,171876
Californication,(2007–2014),18,28 min,"Comedy, Drama",8.3,"A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.",David Duchovny,Natascha McElhone,Evan Handler,Pamela Adlon,171726
The Mentalist,(2008– ),16+,43 min,"Crime, Drama, Mystery",8.1,"A famous ""psychic"" outs himself as a fake, and starts working as a consultant for the California Bureau of Investigation so he can find ""Red John"", the madman who killed his wife and daughter.",Simon Baker,Robin Tunney,Tim Kang,Owain Yeoman,165670
Downton Abbey,(2010–2015),7+,58 min,"Drama, Romance",8.7,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern,Brendan Coyle,164119
Person of Interest,(2011–2016),16,43 min,"Action, Crime, Drama",8.4,"An ex-CIA agent and a wealthy programmer save lives via a surveillance AI that sends them the identities of civilians involved in impending crimes. However, the details of the crimes, including the civilians' roles, are left a mystery.",Jim Caviezel,Taraji P. Henson,Kevin Chapman,Michael Emerson,163362
Criminal Minds,(2005–2020),NA,42 min,"Crime, Drama, Mystery",8.1,"The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.",Kirsten Vangsness,A.J. Cook,Joe Mantegna,NA,161622
The Umbrella Academy,(2019– ),16+,60 min,"Action, Adventure, Comedy",8,"A family of former child heroes, now grown apart, must reunite to continue to protect the world.",Elliot Page,Tom Hopper,David Castañeda,Emmy Raver-Lampman,159722
Sex Education,(2019– ),A,45 min,"Comedy, Drama",8.3,A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Emma Mackey,159007
Entourage,(2004–2011),15+,28 min,"Comedy, Drama",8.4,Film star Vince Chase navigates the vapid terrain of Los Angeles with a close circle of friends and his trusty agent.,Kevin Connolly,Adrian Grenier,Kevin Dillon,Jerry Ferrara,158296
Big Little Lies,(2017–2019),15+,60 min,"Crime, Drama, Mystery",8.5,"The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",Reese Witherspoon,Nicole Kidman,Shailene Woodley,Zoë Kravitz,157148
Rome,(2005–2007),18,52 min,"Action, Drama, History",8.7,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon,155249
Gossip Girl,(2007–2012),18,42 min,"Drama, Romance",7.4,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.,Blake Lively,Leighton Meester,Penn Badgley,Ed Westwick,154572
That '70s Show,(1998–2006),18,22 min,"Comedy, Romance",8.1,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",Topher Grace,Laura Prepon,Mila Kunis,Danny Masterson,154375
Battlestar Galactica,(2004–2009),U,44 min,"Action, Adventure, Drama",8.7,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",Edward James Olmos,Mary McDonnell,Jamie Bamber,James Callis,153100
Pretty Little Liars,(2010–2017),A,44 min,"Drama, Mystery, Romance",7.4,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.",Troian Bellisario,Ashley Benson,Lucy Hale,Shay Mitchell,152443
The Crown,(2016– ),16+,58 min,"Biography, Drama, History",8.7,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,Claire Foy,Olivia Colman,Imelda Staunton,Matt Smith,150834
The End of the F***ing World,(2017–2019),18+,25 min,"Adventure, Comedy, Crime",8.1,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father.",Jessica Barden,Alex Lawther,Steve Oram,Christine Bottomley,146542
You,(2018– ),16+,45 min,"Crime, Drama, Romance",7.7,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.",Penn Badgley,Victoria Pedretti,Ambyr Childers,Elizabeth Lail,144170
Altered Carbon,(2018–2020),16+,60 min,"Action, Drama, Sci-Fi",8,"Set in a future where consciousness is digitized and stored, a prisoner returns to life in a new body and must solve a mind-bending murder to win his freedom.",Chris Conner,Renée Elise Goldsberry,Will Yun Lee,Dichen Lachman,142763
Castle,(2009–2016),A,43 min,"Comedy, Crime, Drama",8.1,"After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",Nathan Fillion,Stana Katic,Susan Sullivan,Jon Huertas,140609
Bones,(2005–2017),15+,40 min,"Comedy, Crime, Drama",7.8,"Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.",Emily Deschanel,David Boreanaz,Michaela Conlin,T.J. Thyne,139943
Sense8,(2015–2018),18,60 min,"Drama, Mystery, Sci-Fi",8.3,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.",Bae Doona,Jamie Clayton,Tina Desai,Tuppence Middleton,139640
Archer,(2009– ),18,22 min,"Animation, Action, Comedy",8.6,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnell,137888
Glee,(2009–2015),18,44 min,"Comedy, Drama, Music",6.7,A group of ambitious misfits try to escape the harsh realities of high school by joining a glee club headed by a passionate Spanish teacher.,Lea Michele,Jane Lynch,Matthew Morrison,Cory Monteith,136866
The IT Crowd,(2006–2013),16,25 min,Comedy,8.5,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,134441
Buffy the Vampire Slayer,(1997–2003),A,44 min,"Action, Drama, Fantasy",8.2,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends.",Sarah Michelle Gellar,Nicholas Brendon,Alyson Hannigan,Anthony Head,131081
Freaks and Geeks,(1999–2000),NA,44 min,"Comedy, Drama",8.8,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,John Francis Daley,James Franco,Samm Levine,NA,129706
